City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bluff,-46.6,168.3333,58.8,74,96,2.82,NZ,1668533436
84,tanete,-3.9443,119.7848,75.81,95,99,2.8,ID,1668533437
85,talnakh,69.4865,88.3972,-16.94,96,99,1.07,RU,1668533437
86,bantry,51.6833,-9.45,48.78,83,93,8.86,IE,1668533438
87,grand gaube,-20.0064,57.6608,72.0,66,20,4.0,MU,1668533438
88,saldanha,-33.0117,17.9442,68.05,74,54,7.45,ZA,1668533439
89,novobirilyussy,56.9514,90.6661,34.61,97,100,12.5,RU,1668533439
90,mataura,-46.1927,168.8643,58.48,66,94,1.36,NZ,1668533439
91,cervantes,-39.05,-67.3833,83.79,25,0,14.27,AR,1668533440
92,mookane,-23.688,26.6595,77.76,35,0,6.04,BW,1668533440
93,norman wells,65.282,-126.8329,8.64,85,20,12.66,CA,1668533157
94,cidreira,-30.1811,-50.2056,77.94,44,0,12.66,BR,1668533441
95,avarua,-21.2078,-159.775,71.65,68,96,5.75,CK,1668533441
96,lucapa,-8.4192,20.7447,68.23,92,95,1.9,AO,1668533442
97,great bend,38.3645,-98.7648,33.93,71,40,10.36,US,1668533442
98,bida,9.0833,6.0167,82.99,27,63,3.02,NG,1668533443
99,alekseyevka,50.6309,38.6903,32.18,55,100,8.12,RU,1668533443
100,mahebourg,-20.4081,57.7,71.89,64,40,6.91,MU,1668533181
101,malanje,-9.5402,16.341,72.18,54,65,7.31,AO,1668533443
102,castro,-24.7911,-50.0119,73.45,39,0,9.33,BR,1668533444
103,tasiilaq,65.6145,-37.6368,33.96,70,71,5.75,GL,1668533444
104,saskylakh,71.9167,114.0833,-8.52,96,100,6.31,RU,1668533445
105,severo-kurilsk,50.6789,156.125,35.44,70,88,26.64,RU,1668533163
106,airai,-8.9266,125.4092,62.62,91,100,0.6,TL,1668533445
107,touros,-5.1989,-35.4608,83.12,61,64,13.56,BR,1668533446
108,cabedelo,-6.9811,-34.8339,81.27,70,94,11.18,BR,1668533446
109,qinhuangdao,39.9317,119.5883,43.2,43,0,5.21,CN,1668533446
110,havoysund,70.9963,24.6622,43.03,72,100,22.57,NO,1668533447
111,vagur,61.4732,-6.8119,48.94,87,100,34.49,FO,1668533447
112,bathsheba,13.2167,-59.5167,84.81,74,40,19.57,BB,1668533448
113,bose,45.4612,8.0137,47.79,93,100,0.58,IT,1668533448
114,provideniya,64.3833,-173.3,28.51,92,100,16.71,RU,1668533448
115,tambopata,-12.7333,-69.1833,73.29,100,75,3.44,PE,1668533449
116,bredasdorp,-34.5322,20.0403,65.39,65,76,16.06,ZA,1668533449
117,murchison,-41.8,172.3333,51.1,89,100,0.18,NZ,1668533450
118,saint george,37.1041,-113.5841,44.94,43,0,5.75,US,1668533268
119,port alfred,-33.5906,26.891,65.17,88,94,5.99,ZA,1668533450
120,katsuura,35.1333,140.3,56.44,78,70,6.22,JP,1668533451
121,elektrenai,54.7667,24.6333,42.64,91,92,8.55,LT,1668533451
122,kieta,-6.2167,155.6333,77.81,81,81,1.41,PG,1668533451
123,mankono,8.0586,-6.1897,80.56,58,55,3.78,CI,1668533452
124,hermanus,-34.4187,19.2345,67.8,76,81,15.32,ZA,1668533452
125,upernavik,72.7868,-56.1549,18.75,88,100,11.16,GL,1668533453
126,qui nhon,13.7667,109.2333,75.11,93,51,6.2,VN,1668533453
127,bethel,41.3712,-73.414,43.02,52,100,9.22,US,1668533453
128,khatanga,71.9667,102.5,-8.32,96,100,11.3,RU,1668533454
129,roald,62.5833,6.1333,56.32,44,0,23.02,NO,1668533454
130,izumo,35.3667,132.7667,48.15,65,65,8.19,JP,1668533455
131,torbay,47.6666,-52.7314,39.76,75,75,19.57,CA,1668533455
132,salalah,17.0151,54.0924,78.89,50,0,4.61,OM,1668533455
133,sao felix do xingu,-6.6447,-51.995,87.48,65,74,4.41,BR,1668533340
134,muyezerskiy,63.9333,31.65,29.43,81,99,5.35,RU,1668533456
135,tupik,54.4253,119.9327,-6.56,100,89,0.85,RU,1668533457
136,naze,28.3667,129.4833,65.32,71,99,10.09,JP,1668533457
137,zyryanka,65.75,150.85,-15.45,94,99,13.89,RU,1668533458
138,taoudenni,22.6783,-3.9836,83.35,11,33,10.45,ML,1668533458
139,jishou,28.3167,109.7167,57.24,76,99,4.97,CN,1668533459
140,altay,47.8667,88.1167,33.42,71,100,4.18,CN,1668533459
141,bowen,-20.0167,148.2333,76.95,77,98,3.44,AU,1668533459
142,hami,42.8,93.45,36.9,40,28,3.87,CN,1668533460
143,faanui,-16.4833,-151.75,78.06,78,98,0.98,PF,1668533460
144,kupang,-10.1667,123.5833,79.83,86,90,3.78,ID,1668533461
145,bubaque,11.2833,-15.8333,82.83,67,100,6.91,GW,1668533461
146,ribeira grande,38.5167,-28.7,66.78,94,75,17.27,PT,1668533462
147,valdivia,-39.8142,-73.2459,64.49,60,56,7.4,CL,1668533462
148,igrim,63.1906,64.4162,-7.82,90,96,4.9,RU,1668533463
149,ostrovnoy,68.0531,39.5131,35.98,92,100,20.45,RU,1668533178
150,barcelos,41.5388,-8.6151,60.94,84,100,6.98,PT,1668533346
151,maarianhamina,60.0973,19.9348,39.06,81,75,11.5,AX,1668533464
152,sabla,12.7525,4.7077,79.59,15,19,8.84,NG,1668533464
153,aklavik,68.2191,-135.0107,3.54,97,96,5.7,CA,1668533465
154,berlevag,70.8578,29.0864,40.95,81,75,29.93,NO,1668533466
155,port elizabeth,-33.918,25.5701,68.09,80,0,19.57,ZA,1668533454
156,shimanovsk,52.0,127.7,17.17,94,100,4.74,RU,1668533466
157,juneau,58.3019,-134.4197,42.1,100,100,3.44,US,1668533467
158,portland,45.5234,-122.6762,47.8,58,20,18.01,US,1668533464
159,chapais,49.7834,-74.8492,17.38,70,88,4.81,CA,1668533467
160,krasnyye barrikady,46.2045,47.8535,26.56,68,0,6.71,RU,1668533468
161,sola,-13.8833,167.55,80.76,71,0,1.95,VU,1668533469
162,eyl,7.9803,49.8164,79.11,79,7,16.13,SO,1668533469
163,hoshiarpur,31.5322,75.9172,62.65,54,0,4.83,IN,1668533470
164,codrington,-38.2667,141.9667,46.72,72,79,11.23,AU,1668533470
165,suez,29.9737,32.5263,67.57,53,29,4.83,EG,1668533470
166,qaqortoq,60.7167,-46.0333,29.14,94,100,6.87,GL,1668533471
167,duluth,46.7833,-92.1066,34.56,89,75,6.91,US,1668533431
168,lagunas,-5.2269,-75.6753,80.8,82,99,3.38,PE,1668533472
169,senador canedo,-16.7081,-49.0931,83.53,51,40,5.75,BR,1668533227
170,kuryk,43.2,51.65,38.3,61,75,9.8,KZ,1668533472
171,eirunepe,-6.6603,-69.8736,94.93,42,90,2.39,BR,1668533474
